Nama Kapal,Tipe Kapal,Prediksi ETA,Jarak / Waktu,Arah / Kecepatan,Draught Saat Ini,Status Navigasi,Posisi Diterima,IMO / MMSI,Panggilan Sinyal,Bendera,Panjang / Lebar
OOCL JAPAN,Container Ship,-,-, ,15.9 m,-,5 days ago,9776195 / 477100400,VRQX5,Hong Kong,400 / 59 m
OOCL GERMANY,Container Ship,,, ,11.5 m,-,35 hours ago,9776183 / 477035800,VRQS3,Hong Kong,400 / 59 m
OOCL UNITED KINGDOM,Container Ship,,, ,12.6 m,-,16 hours ago,9776200 / 477103800,VRQZ8,Hong Kong,400 / 59 m
ONE TRUTH,Container Ship,,, ,12.3 m,-,10 days ago,9773210 / 356984000,3FBJ9,Panama,399 / 58 m
ONE TREASURE,Container Ship,-,-, ,15.2 m,Moored,1 min ago,9773222 / 357210000,3EUO7,Panama,400 / 58 m
PROSPERITY,Offshore Support Vessel,-,-, ,15.8 m,Moored,7 hours ago,9881043 / 311000949,C6EN8,Bahamas,349 / 60 m
LIZA UNITY,Offshore Support Vessel,-,-, ,7.9 m,Moored,2 hours ago,9851828 / 311000797,C6DV8,Bahamas,333 / 60 m
FPSO SEPETIBA,Offshore Support Vessel,-,-, ,19.5 m,-,159 days ago,9881457 / 311000945,C6EN4,Bahamas,331 / 60 m
PFLNG SATU,Offshore Support Vessel,-,-, ,12.5 m,-,3 days ago,9665085 / 533130229,9WJY6,Malaysia,365 / 60 m
PACIFIC HARVEST,Bulk Carrier,-,-, ,23.0 m,-,5 days ago,9806988 / 477191200,VRRJ8,Hong Kong,362 / 65 m
PACIFIC VISION,Bulk Carrier,,, ,23.0 m,-,6 days ago,9806990 / 477232500,VRRJ5,Hong Kong,362 / 65 m
PACIFIC UNITY,Bulk Carrier,-,-, ,23.1 m,-,36 hours ago,9806976 / 477159400,VRRJ4,Hong Kong,362 / 65 m
YUAN YI HAI,Bulk Carrier,-,-, ,23.0 m,-,7 days ago,9806897 / 563065300,9V5554,Singapore,362 / 65 m
YUAN GU HAI,Bulk Carrier,-,-, ,11.4 m,Moored,3 min ago,9806885 / 563057400,9V5553,Singapore,361 / 65 m
